par,value
R_0,2266.57
mu_0,0.0302
mu_hat,0.0877
kappa_mu,0.2772
sigma,0.1345
eta,0.075
theta,0.4669
gamma,0.1416
F_0,39.68
tau,0.24
r_bar,0.02415
pi,0.05327
rho12,0
