par,value
R_0,464.392
mu_0,0.1188
mu_hat,0.0877
kappa_mu,0.2772
sigma,0.1852
eta,0
theta,0.636
gamma,0.0962
F_0,12.21
tau,0.24
r_bar,0.03851
pi,0.05327
rho12,0
debt,0.1773
