par,value
R_0,870.72
mu_0,0.2788
mu_hat,0.0877
kappa_mu,0.2772
sigma,0.1345
eta,0
theta,0.4669
gamma,0.1416
F_0,39.68
tau,0.24
r_bar,0.03851
pi,0.05327
rho12,0
debt,0.0092
