par,value
R_0,2104.63
mu_0,0.0651
mu_hat,0.0714
kappa_mu,0.2772
sigma,0.1746
eta,0.045
theta,0.3138
gamma,0.3172
F_0,15.97
tau,0.24
r_bar,0.02415
pi,0.05327
rho12,0
