Period,IP,GGG,ALFA,REC
2025.75,1996.828,2173.432,68972,2529.284
2025.5,2221.392,2287.224,67276,2575.528
2025.25,2086.3,2113.136,65860,2719.84
2025,1959.56,2194.688,73236,2393.912
2024.75,1971.22,2076.848,64832,2229.656
2024.5,2199.348,2212.972,70124,2311.388
2024.25,2183.468,1968.756,59624,2431.28
2024,2078.388,2266.572,71356,2104.628
